,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,winning_party,winner_percent_of_votes
0,Alabama,316,217,5024279,6.289459641871003e-05,REPUBLICAN,0.6054582232982282
1,Alaska,579,658,733391,0.0007894833724438942,REPUBLICAN,0.5480157739729447
2,Arizona,79,130,7151502,1.1046630484057754e-05,REPUBLICAN,0.536545331659747
3,Arkansas,0,192,3011524,0.0,REPUBLICAN,0.6056693608410911
4,California,2427,847,39538223,6.138363881452133e-05,DEMOCRAT,0.6023895914168964
5,Colorado,337,242,5773714,5.8367975968328186e-05,DEMOCRAT,0.5149222655161517
6,Connecticut,1597,631,3605944,0.0004428798672414214,DEMOCRAT,0.5808501325885442
7,Delaware,336,254,989948,0.00033941176708271546,DEMOCRAT,0.5861074198458528
8,District of Columbia,0,0,689545,0.0,DEMOCRAT,0.9091311392818724
9,Florida,1307,640,21538187,6.0682916347601585e-05,DEMOCRAT,0.5000786506869869
10,Georgia,1497,599,10711908,0.0001397510135449259,REPUBLICAN,0.5332924217752452
11,Hawaii,339,526,1455271,0.00023294630347199936,DEMOCRAT,0.7014793244563191
12,Idaho,0,193,1839106,0.0,REPUBLICAN,0.6452978349589283
13,Illinois,753,398,12812508,5.877069501146848e-05,DEMOCRAT,0.5760213536247709
14,Indiana,215,199,6785528,3.1685080365153604e-05,REPUBLICAN,0.5412553238022445
15,Iowa,27,46,3190369,8.462970897723742e-06,DEMOCRAT,0.5198801653414908
16,Kansas,0,170,2937880,0.0,REPUBLICAN,0.5971132036921613
17,Kentucky,46,71,4505836,1.0208982306502056e-05,REPUBLICAN,0.6049314159932162
18,Louisiana,858,475,4657757,0.00018420883700029863,REPUBLICAN,0.5778457572847425
19,Maine,0,165,1362359,0.0,DEMOCRAT,0.5537103419348252
21,Massachusetts,1557,616,7029917,0.00022148198904766586,DEMOCRAT,0.5420820421051875
22,Michigan,622,325,10077331,6.172269224857257e-05,REPUBLICAN,0.4495820110666865
23,Minnesota,0,145,5706494,0.0,REPUBLICAN,0.5528584674358112
24,Mississippi,0,208,2961279,0.0,REPUBLICAN,0.5376374113587709
25,Missouri,278,219,6154913,4.516716970654175e-05,REPUBLICAN,0.553515353849205
26,Montana,44,75,1084225,4.058198252207798e-05,REPUBLICAN,0.5980319217904804
27,Nebraska,22,38,1961504,1.1215883322185425e-05,DEMOCRAT,0.5235624947040056
28,Nevada,0,206,3104614,0.0,DEMOCRAT,0.5197968415071198
29,New Hampshire,108,139,1377529,7.84012532585521e-05,DEMOCRAT,0.5834235491063761
30,New Jersey,2173,949,9288994,0.00023393275956470636,DEMOCRAT,0.5299276052046678
31,New Mexico,411,481,2117522,0.0001940947957093244,DEMOCRAT,0.6076098417487449
32,New York,4770,1660,20201249,0.00023612401391616923,REPUBLICAN,0.5039306410214295
33,North Carolina,1253,452,10439388,0.00012002619310633918,REPUBLICAN,0.5831568255855722
34,North Dakota,0,149,779094,0.0,DEMOCRAT,0.5066674765831987
35,Ohio,315,262,11799448,2.6696164091743953e-05,REPUBLICAN,0.6677231974301656
36,Oklahoma,155,193,3959353,3.914781026091889e-05,DEMOCRAT,0.54239326652769
37,Oregon,194,259,4237256,4.5784347228489384e-05,DEMOCRAT,0.520768577021407
38,Pennsylvania,2177,791,13002700,0.00016742676521030246,DEMOCRAT,0.627009588632639
39,Rhode Island,1150,864,1097379,0.0010479515281411435,REPUBLICAN,0.5456113125586141
40,South Carolina,506,316,5118425,9.885853558467693e-05,REPUBLICAN,0.5788931187554114
41,South Dakota,203,246,886667,0.00022894728235064573,REPUBLICAN,0.5947871471993759
42,Tennessee,560,408,6910840,8.103211765863484e-05,REPUBLICAN,0.5716697746805639
43,Texas,1625,716,29145505,5.5754738166314154e-05,REPUBLICAN,0.727905331026891
44,Utah,126,158,3271616,3.851307732936873e-05,DEMOCRAT,0.665705503023823
45,Vermont,0,151,643077,0.0,DEMOCRAT,0.5616339829967276
47,Washington,159,152,7705281,2.063519811931583e-05,DEMOCRAT,0.5277616253515459
48,West Virginia,391,245,1793716,0.0002179832258841422,REPUBLICAN,0.6819358518713527
49,Wisconsin,5,12,5893718,8.48360915809002e-07,,
50,Wyoming,3,9,576851,5.200649734506831e-06,,
51,Puerto Rico,62,107,3285874,1.8868648037021505e-05,,
